Package,Count
distro,58
colorcet,58
arch,58
ipynb-py-convert,58
Numpy,58
dask_jobqueue,58
cftime,57
langdetect,57
kubernetes,57
pydata-google-auth,57
sos-notebook,57
gmplot,57
sphinx-copybutton,57
pyvis,57
fluentpy,57
ipytree,57
Matplotlib,57
polymatheia,56
widget-periodictable,56
ecos,56
knnimpute,56
emoji,56
osmapi,56
PuLP,56
particle,56
myst-parser,56
pygraphviz,56
autograd-gamma,56
geeadd,56
itk-core,55
itk-filtering,55
itk-numerics,55
itk-registration,55
zarr,55
pyqtchart,55
theano,55
ipython_blocking,55
scanpy,55
mkl-service,55
pyreadline,55
Rtree,55
pyvo,55
jupyter_server_proxy,55
dm-tree,55
osqp,55
python-chess,55
awkward,55
distlib,55
altair-latimes,55
mkdocs,54
debugpy,54
pygobject,54
torchtext,54
sphinx-lesson,54
econml,53
uncertainties,53
google-colab,53
google-cloud-language,53
gspread-dataframe,53
pymystem3,53
msticpy,53
bluesky,53
nlopt,53
Quandl,52
pydicom,52
mypy-extensions,52
DateTime,52
crcmod,52
fastrlock,52
google-cloud-translate,52
cerberus,52
backports-abc,52
hs_restclient,52
ipy_table,52
pytest-pep8,52
implementation_name,52
jupyterlab_pygments,52
category-encoders,51
argh,51
backports.tempfile,51
QtAwesome,51
ome-zarr,51
nbgrader,51
chaospy,51
bibtexparser,51
en-core-web-sm,51
firebase-admin,51
gin-config,51
google-cloud-firestore,51
PyDrive,51
sounddevice,51
islpy,51
blitzdb,51
typing_inspect,51
pymods,51
path,50
pytraj,50
jupyter_console,50
futures,50
dopamine-rl,50
fix-yahoo-finance,50
google-cloud-datastore,50
ideep4py,50
jpeg4py,50
kapre,50
lucid,50
okgrade,50
prefetch-generator,50
vaex,50
lets-plot,50
myst_nb,50
rasterstats,49
modsimpy,49
sos,49
sadedegel,49
jupyter-telemetry,48
zope.interface,48
icepyx,48
bitarray,48
pytest-openfiles,48
httplib2shim,48
Pint,48
shioaji,48
mmh3,48
xeus-python,48
BondGraphTools,47
feedparser,47
cached-property,47
pysndfile,47
python-apt,47
xkit,47
graphviz2drawio,47
backports.weakref,46
sqlite-utils,46
pycairo,46
qdldl,46
MDAnalysis,46
mobilechelonian,46
async_generator,46
pyppeteer,45
lime,45
mkl-fft,45
jupyter-c-kernel,45
jupyterlab_code_formatter,45
Unidecode,45
sidecar,45
cowpoke,45
jupyter_server,45
tldextract,44
tensorflow-hub,44
specutils,44
sortedcollections,44
pymdown-extensions,44
dask_labextension,44
enum34,44
funcy,44
habanero,44
markdown-it-py,44
fastcluster,44
Flask-RESTful,44
pathy,44
stringcase,44
jupyterlab_server,44
pygal,43
ipydatawidgets,43
bkcharts,43
pytest-arraydiff,43
pytest-astropy,43
pytest-doctestplus,43
pytest-remotedata,43
pyecharts,43
mypy,43
pot,43
py4j,43
NumPy,43
iso-639,43
voila-hover,43
k3d,43
importlib_metadata,43
catch22,43
pywin32,42
pandoc,42
dask-labextension,42
bcrypt,42
conda,42
mkdocs-material,42
plantcv,42
platform_system,42
luigi,42
spglib,42
fastapi,42
colorlog,42
etk,42
autofit,42
Interactive,42
ophyd,42
sphinx_gallery,41
pytest-xdist,41
lesscpy,41
win-unicode-console,41
scikit-build,41
django,41
pyperclip,41
svgpathtools,41
solidspy,41
omegalpes,41
iosacal,41
sigpy,40
rebound,40
marshmallow,40
gffutils,40
gender_guesser,40
imjoy-jupyter-extension,40
invoke,40
BeautifulSoup4,40
mpi4py,40
dash-daq,40
rtree,40
neo4j,40
aiofiles,40
h11,40
jupyterlab~,40
aniso8601,40
Flask-SQLAlchemy,40
mocodo-magic,40
fortecubeview,40
jupyterlab-spellchecker,40
python-Levenshtein,39
pbr,39
ipyaggrid,39
jsonlines,39
pickle-mixin,39
gevent,39
scipy~,39
cmocean,39
okpy,39
tensorflow-addons,39
reportlab,39
mip,39
m3inference,39
pymysql,39
icc_rt,39
svgpath2mpl,39
pipenv,38
python-jsonrpc-server,38
cdsapi,38
ffn,38
memory_profiler,38
Biopython,38
texthero,38
plenopticam,38
bt,38
itk-elastix,38
certipy,37
dpath,37
pydub,37
statistics,37
widget-code-input,37
python-language-server,37
textmining3,37
mpldatacursor,37
filterpy,37
nbzip,37
pqdict,37
powerlaw,37
hdbscan,37
interact,37
dipy,37
jupyterlab_widgets,37
python-box,37
niwidgets,37
allennlp,36
dtreeviz,36
tinydb,36
fire,36
nteract-scrapbook,36
SimPEG,36
pubchempy,36
krotov,36
pyross,36
phik,36
SimpleITK,36
graphql-core,36
nptyping,36
requests-file,36
monty,36
pytest-dependency,36
colour-science,36
simpervisor,35
cssselect,35
Brotli,35
ncbi-datasets-pylib~,35
pelican,35
anndata,35
pvlib,35
python-cmr,35
fastcache,35
ruptures,35
jupyter-tensorboard,35
htmlmin,35
redis,35
plotly_express,35
saspy,35
pipreqs,35
geemap,35
spacy-legacy,35
PyMySQL,34
configobj,34
daskarray,34
djangorestframework,34
stanza,34
comtypes,34
ipynb,34
psycopg2-binary,34
mercantile,34
janus,34
xxhash,34
monotonic,34
colormath,34
tock,34
ansi2html,34
click-spinner,34
kafe2,34
psynlig,34
sphinx-multitoc-numbering,34
tensorboard-data-server,34
itk-segmentation,33
pytest-sugar,33
mkl-random,33
stardist,33
fasttext,33
tk,33
py-heat-magic,33
ferretmagic,33
pypng,33
dask_xgboost,33
bottle,33
pydata-sphinx-theme,33
hepunits,33
gql,33
print-function,33
nsepy,33
jupyter-archive,33
sas_kernel,33
sphinx-exercise,33
dnspython,32
antlr4-python3-runtime,32
jupyter-repo2docker,32
QDarkStyle,32
datachile,32
click-default-group,32
datasette,32
tensorboardX,32
pdflatex,32
radis,32
sklearn-pandas,32
mplstereonet,32
scikit-plot,32
siuba,32
troveharvester,32
python-levenshtein,32
escapism,32
genson,32
pyhf,32
annoy,31
jplephem,31
esda,31
mako,31
affine,31
dash-dangerously-set-inner-html,31
rio-toa,31
quilt,31
loguru,31
confuse,31
trimesh,31
uproot4,31
progress,31
progressbar,31
pytest-runner,31
pyinstaller,31
mergedeep,31
ntlm-auth,31
requests-ntlm,31
expectexception,31
lark-parser,31
jupyterlab-launcher,31
irons,31
datalad-installer,31
quantecon-book-theme,31
spyder,30
opencv_python,30
python-twitter,30
json-tricks,30
uproot-methods,30
yarg,30
latexcodec,30
pybtex-docutils,30
ipypublish,30
Ipykernel,30
python-ternary,30
pyldavis,30
plumbum,30
scikit-optimize,29
django-filter,29
nest_asyncio,29
pyod,29
pytest-astropy-header,29
dask-image,29
mplcursors,29
hover,29
mknotebooks,29
publib,29
hitran-api,29
qiskit-aqua,29
pytoml,29
tox,29
matplotlib-scalebar,29
arcgis,29
numdifftools,29
geoscilabs,29
tabpy,29
tabpy-client,29
tabpy-server,29
Tornado-JSON,29
jupyterlab-solutions,29
pygeos,29
pywin32-ctypes,28
sphinx-panels,28
datapackage,28
jupyter_bokeh,28
dash-auth,28
cookiecutter,28
efficientnet,28
cloud-volume,28
meshparty,28
tensorflow-datasets,28
awkward1,28
jupyter-sphinx,28
webcolors,28
nbclean,28
hupper,28
uvloop,28
commonmark,28
pdpbox,28
get-all-tickers,28
numecon,28
pyviz,28
tensorforce,27
qtpy,27
pox,27
django-crispy-forms,27
pprintpp,27
ipyparams,27
pytrends,27
jyquickhelper,27
sparqlwrapper,27
backports.lzma,27
nglui,27
annotationframeworkclient,27
prince,27
pyls-black,27
pyls-isort,27
pyls-mypy,27
readme-renderer,27
intake-xarray,27
django-el-pagination,27
jupyter-cache,27
sphinx-togglebutton,27
httptools,27
nvidia-ml-py3,27
bookbook,27
svgwrite,27
deepracer-utils,27
pystencils,27
PyCO2SYS,27
sphinx_rtd_theme_ext_color_contrast,27
reliability,27
slicer,27
toposort,26
ppft,26
pyqtgraph,26
texttable,26
pandas-flavor,26
combo,26
suod,26
miceforest,26
wrappy,26
pypdb,26
rauth,26
swifter,26
rdflib-jsonld,26
hyperspy,26
SoundFile,26
pymarc,26
chord,26
webdriverdownloader,26
SciPy,26
starlette,26
pyDiffMap,26
cma,26
xpecgen,26
tabletext,26
gradio,26
sphinx-comments,26
fluxengine,26
japanize-matplotlib,26
diff-match-patch,25
praw,25
pypet,25
nistats,25
WTForms,25
spotipy,25
line_profiler,25
dashdataframe,25
skyfield,25
import_ipynb,25
escher,25
gwcs,25
floweaver,25
ipysankeywidget,25
utils,25
gif,25
autolens,25
nrpylatex,25
wltp-gearshift,25
requests-html,24
python_dateutil,24
mplleaflet,24
mlflow,24
wikipedia,24
gitdb2,24
pymatsolver,24
seaborn~,24
json2html,24
energyflow,24
patool,24
chembl_webresource_client,24
rioxarray,24
daskdataframe,24
Whoosh,24
boost-histogram,24
mplfinance,24
pyjet,24
pyfftw,24
asgi-csrf,24
python-baseconv,24
kmodes,24
cclib,24
py3dmol,24
black-nb,24
flake8-nb,24
motuclient,24
pandas-gbq,24
line-profiler,24
radon,24
pyephem,24
mtcnn,24
SymPy,24
pycrs,24
cartoframes,24
sphinx-autoapi,24
segyio,24
immutabledict,24
mantarray-file-manager,24
mantarray-waveform-analysis,24
pycountry_convert,24
xattr,24
smopy,23
pyee,23
s3fs,23
atomate,23
inflection,23
sparqlkernel,23
newspaper3k,23
lithops,23
os-win,23
PyNaCl,23
smmap2,23
discretize,23
sobol_seq,23
binaryornot,23
jinja2-time,23
jupyter-wysiwyg,23
PyGithub,23
neuroglancer,23
ImageHash,23
tangled-up-in-unicode,23
visions,23
dx,23
tellurium,23
scapy,23
ppscore,23
ipythonblocks,23
huntlib,23
stix-shifter,23
stix-shifter-utils,23
stix-shifter-modules-qradar,23
stix-shifter-modules-carbonblack,23
python-multipart,23
os_name,23
neobolt,23
neotime,23
numpy!,23
lasio,23
semver,23
labware-domain-models,23
iplotter,23
ambiance,23
color-matcher,23
color-space-converter,23
pyttsx,23
check-manifest,22
jitcdde,22
spyder-kernels,22
import-ipynb,22
pendulum,22
lvm_read,22
scikit-learn~,22
ftputil,22
poyo,22
urlpath,22
Flask-WTF,22
scikit-multilearn,22
googlemaps,22
mxnet,22
gifmaker,22
open3d,22
pkgconfig,22
uproot3-methods,22
biopandas,22
robocrys,22
crystal-toolkit,22
photutils,22
mat73,22
pygam,22
style,22
NRSur7dq2,22
duecredit,22
base58,22
zfit,22
dowhy,22
metview,22
qpsolvers,22
stix-shifter-modules-stix_bundle,22
phe,22
proj,22
whitebox,22
platypus-opt,22
pyriemann,22
cartopy,22
astroML,22
lux-api,22
lux-widget,22
madrigalweb,22
httpx,22
uproot3,22
NEURON,22
bluesky-adaptive,22
pycontracts,22
datascroller,22
folium~,22
ijson,21
pipdeptree,21
visdom,21
python-oauth2,21
pyreadstat,21
ray,21
pandas_gbq,21
Ipython,21
jupyter-plotly-dash,21
itables,21
pysort,21
pdfminer.six,21
pysal,21
treeinterpreter,21
sat-search,21
openrouteservice,21
ipywidgets~,21
qiskit-terra,21
docplex,21
rayrllib,21
jupyter~,21
grid2opchallenge,21
dacite,21
sfs,21
libcst,21
jupyter-cjk-xelatex,21
blaseball-mike,21
pyslha,21
semantic-version,21
torchsummary,21
mpl_finance,21
ethnicolr,21
EasyProcess,21
pygeoj,21
nbresuseresources,21
cooler,20
robobrowser,20
sphinx_bootstrap_theme,20
virtualenv-clone,20
raven,20
gpxpy,20
optional-django,20
conda-build,20
phonenumbers,20
widget_code_input,20
sgdml,20
streng,20
gpy,20
gpyopt,20
qiskit-ignis,20
pystokes,20
math,20
peakutils,20
pyscf,20
simpledbf,20
cairosvg,20
utm,20
snuggs,20
tqdm~,20
aplpy,20
intake,20
quadpy,20
libsass,20
oset,20
pprint,20
leidenalg,20
csvs-to-sqlite,20
z3-solver,20
heapdict,20
enum-compat,20
tesseract-ocr,20
DeezyMatch,20
bruges,20
path.py,20
joypy,20
gudhi,20
dhlab,20
regions,20
asdf,20
mendeleev,20
sphinx_copybutton,20
lockfile,20
elfi,20
dicom,20
overpy,20
magpylib,20
jupyterlab-toc,20
sentence_transformers,20
otoole,20
h5netcdf,20
allennlp-models,20
ghapi,20
PyLaTeX,20
english,20
pansi,20
bluesky-widgetsjupyter,20
pandas-bokeh,19
stopit,19
w3lib,19
taxii2-client,19
vaderSentiment,19
jellyfish,19
jupyterlab-code-formatter,19
jeepney,19
h5py~,19
jsonpointer,19
pymultinest,19
flask-compress,19
mdutils,19
trackpy,19
randomcolor,19
tflearn,19
dlx,19
qiskit_aqua,19
black_nbconvert,19
python-graphviz,19
Scrapy,19
pycaret,19
pydap,19
easydev,19
recordlinkage,19
coloredlogs,19
jupyter-tabnine,19
sodapy,19
qiskit-aer,19
dropbox,19
blaseball-reference,19
welly,19
tokenizers,19
jupyter-notebookparams,19
detecta,19
optcutfreq,19
psd2,19
pyversions,19
tnorma,19
investpy,19
jupyter-lsp,19
funcsigs,19
flit,19
platform_python_implementation,19
typecheck-decorator,19
imongo-kernel,19
cython-npm,19
colorednoise,19
andes,19
memoization,19
whiteboxgui,19
furl,19
orderedmultidict,19
adaptive,19
docstr-coverage,19
hjson,19
xenon,19
sphinx~,19
sphinx-hoverxref,19
pdfkit,18
gmaps,18
stix2,18
fastparquet,18
mne_bids,18
pybv,18
python,18
playsound,18
SecretStorage,18
sentry-sdk,18
cenpy,18
gprofiler-official,18
tabulator,18
napari,18
nipype,18
numpy-stl,18
demjson,18
keras_applications,18
elasticsearch,18
iso3166,18
biosignalsnotebooks,18
Cartopy,18
awkward0,18
tensorflow_probability,18
grmpy,18
sentinelhub,18
aenum,18
datashape,18
fido,18
yelp_encodings,18
yelp_bytes,18
archieml,18
tensornetwork,18
python-crfsuite,18
Pyzotero,18
pymeeus,18
yt,18
collatex,18
superflexpy,18
zeep,18
sacremoses,18
scikit-rf,18
findblas,18
lorentz,18
msgpack-python,18
bpemb,18
python-decouple,18
pyxlsb,18
kwant,18
svglib,18
colormap,18
sphinx-sitemap,18
scikit-datasets,18
pyswarms,18
KDEpy,18
flit-core,18
rolldecay-estimators,18
PyOpenGL-accelerate,18
jlab-create-sas-file,18
pyautogui,17
update-checker,17
pandapower,17
fastdata,17
ipyparallel,17
lightkurve,17
memory-profiler,17
docker-pycreds,17
pyodbc,17
cellpose,17
jhsingle-native-proxy,17
linear-tsv,17
openseespy,17
aicsimageio,17
OWSLib,17
nipy,17
faker,17
pyunpack,17
segregation,17
scandir,17
salib,17
pretty_midi,17
scikit-learnalldeps,17
ipython-cypher,17
nussl,17
scaper,17
xlsx2csv,17
eurec4a,17
ipfsspec,17
prov,17
stop-words,17
markovify,17
pygtrie,17
lunarcalendar,17
appdirs~,17
ase~,17
nglview~,17
optimade~,17
voila~,17
autocorrect,17
deepface,17
featuretools,17
hepstats,17
eventkit,17
mkdocs-minify-plugin,17
pandas-datadict,17
pytest-mock,17
ipaddress,17
args,17
clint,17
latex,17
python-dwca-reader,17
auto-sklearn,17
pigar,17
allennlp-semparse,17
tbats,17
numcodecs,17
metpy,17
superintendent,17
pigeonXT-jupyter,17
vedo,17
jupyter-innotater,17
bayesian-optimization,16
msrest,16
onnxruntime,16
tinysegmenter,16
pytube,16
sphinxcontrib-napoleon,16
cm,16
conda-package-handling,16
flask_cors,16
sphinx_tabs,16
xesmf,16
pika,16
stevedore,16
lea,16
overpass,16
bmdcluster,16
mkdocs-jupyter,16
scikit-surprise,16
tmm,16
ipyaladin,16
geneticalgorithm,16
mitosheet,16
astroplan,16
